Firm,Year,red,blue,Employment,MarketCap,num_days_nxt,total_return_nxt,num_days,total_return,sectorNo,sectorNote,MarketLeader,n_competitor,n_closecomp,CloseLeader,CloseCompetitor,n_investment,estimated_USD,estimated_TL,D,DeltaD,have_inv
EVREN,1998,0,1,5,3610000000000,236,1.9156047995599803,247,-0.28081377722617873,46,menkul kiymet yatirim ortakliklari,FALSE,14,5,0,TRUE,0,0,0,1,NA,FALSE
FACF,1998,0,1,NA,27e14,236,1.1384581972153098,247,-0.2635170706503578,4,"Factoring, finansal kiralama",FALSE,10,0,1,FALSE,0,0,0,1,NA,FALSE
FENIS,1998,0,0,396,5958187200000,236,1.5002386204691087,247,0.17353928821147102,24,diger metal isleri,TRUE,1,0,1,FALSE,1,580088.6878258527,150000,0,NA,TRUE
FFKRL,1998,0,1,67,9375000000000,236,1.5688959571211616,247,-0.028104208077709192,4,"Factoring, finansal kiralama",FALSE,10,6,0,TRUE,0,0,0,1,NA,FALSE
FINBN,1998,0,1,1534,116875000000000,236,1.5043088235533852,247,-0.08567470544427991,2,Bankalar,FALSE,16,3,0,TRUE,0,0,0,1,NA,FALSE
FMIZP,1998,0,1,445,5069295000000,234,0.8027785681272372,247,-0.30612609224911824,66,takim tezgahlari uretimi,FALSE,3,0,1,FALSE,0,0,0,1,NA,FALSE
FNSYO,1998,0,1,5,1375000000000,236,1.5952532774421455,247,-0.6609440400653117,46,menkul kiymet yatirim ortakliklari,FALSE,14,5,0,TRUE,0,0,0,1,NA,FALSE
FRIGO,1998,0,0,617,1728000000000,236,1.514127732629776,247,-0.4924764850977943,54,pastry food and biscuits etc,FALSE,3,0,1,FALSE,0,0,0,0,NA,FALSE
GARAN,1998,0,1,5114,600000000000000,236,1.6987454490806684,247,-0.20763936477823863,2,Bankalar,FALSE,16,1,0,TRUE,5,65983340.239611425,17062048,1,NA,TRUE
GEDIZ,1998,0,0,481,2146250000000,236,2.127390463429279,247,-0.18236910710374937,25,dogal ip tekstil,FALSE,6,1,1,TRUE,0,0,0,0,NA,FALSE
GENTS,1998,0,0,386,22239360000000,236,1.175399431881879,247,-0.43779948875060004,48,mobilya matress tahta,TRUE,4,1,0,TRUE,0,0,0,0,NA,FALSE
GIMA,1998,0,1,1767,130000000000000,235,1.469555594695651,247,0.2079204093520158,55,perakendeciler,FALSE,5,2,0,TRUE,84,80213925.35856947,43192414,1,NA,TRUE
GLMDE,1998,0,1,232,40687500000000,235,1.4610179073158251,247,-1.126350754150773,14,araci kurumlar,FALSE,3,0,1,FALSE,0,0,0,1,NA,FALSE
GLOBL,1998,0,1,3,3218999999999.9995,235,1.562370401576115,247,-0.160442657253554,46,menkul kiymet yatirim ortakliklari,FALSE,14,5,0,TRUE,0,0,0,1,NA,FALSE
GOLTS,1998,0,1,566,149400000000000,236,1.3133180304360654,247,-0.432993680777639,20,cimento,FALSE,16,4,0,TRUE,5,57490891.51730135,20800000,1,NA,TRUE
GOODY,1998,0,0,1540,422225809338000,235,1.2848750333289034,247,-0.44441850571419983,44,lastikler,TRUE,2,0,1,FALSE,3,64297753.33584833,16626187,0,NA,TRUE
GORBN,1998,0,0,229,972000000000000,234,0.6987495917875233,229,0.15874923700251387,60,seramik porselen,TRUE,4,0,1,FALSE,0,0,0,0,NA,FALSE
GRNYO,1998,0,0,2,550000000000,236,1.2144441041932335,247,-0.37894301250751816,46,menkul kiymet yatirim ortakliklari,FALSE,14,5,1,TRUE,0,0,0,0,NA,FALSE
GUBRF,1998,0,1,615,7920000000000,236,1.644355372574981,247,0.11535317254334343,33,gubre,FALSE,4,1,1,TRUE,1,18891.5549335286,4885,1,NA,TRUE
GUMUS,1998,0,1,1385,84375e11,233,0.8697707162392625,247,-0.9378642945944433,35,hali tekstil,TRUE,1,0,1,FALSE,1,34259829.07106724,8858946,1,NA,TRUE
GUNEY,1998,0,1,249,25923622725e6,232,1.1967594064921894,247,0.47696630554026775,10,Malt bira,FALSE,5,0,1,FALSE,0,0,0,1,NA,FALSE
GUSGR,1998,0,0,362,36500000000000,236,1.7208077332557716,247,-0.6931471805599436,61,sigorta sirketleri,FALSE,7,2,1,TRUE,2,30258802.121469878,10500000,0,NA,TRUE
