Firm,Year,Employment
ARFYO,2001,2
ARSAN,2001,1442
ASLAN,2001,278
ASUZU,2001,661
ATAYO,2001,3
ATEKS,2001,1610
ATLAS,2001,4
ATSYO,2001,3
AYCES,2001,152
AYEN,2001,66
AYGAZ,2001,1014
BAGFS,2001,347
BAKAB,2001,233
BANVT,2001,1895
BEKO,2001,371
BERDN,2001,922
BFREN,2001,179
BISAS,2001,257
BJKAS,2001,4
BOLUC,2001,295
BOSSA,2001,1864
BRISA,2001,982
BRMEN,2001,1552
BROVA,2001,41
BRSAN,2001,900
BRYAT,2001,12
BSOKE,2001,262
BSPRO,2001,2238
BTCIM,2001,411
BUCIM,2001,293
BUMYO,2001,4
BURCE,2001,246
BYRBY,2001,336
BYSAN,2001,
CARSI,2001,1799
CBSBO,2001,126
CELHA,2001,247
CEMTS,2001,287
CEYLN,2001,149
CIMSA,2001,489
CLEBI,2001,1017
CMENT,2001,605
CMLOJ,2001,37
COMUN,2001,161
CUKEL,2001,335
CYTAS,2001,313
DARDL,2001,761
DENCM,2001,817
DENTA,2001,310
DERIM,2001,67
DEVA,2001,826
DITAS,2001,580
DMRYO,2001,3
DMSAS,2001,567
DOBUR,2001,416
DOHOL,2001,91
DOKTS,2001,1538
DUROF,2001,127
DYHOL,2001,36
ECILC,2001,866
ECYAP,2001,1681
ECZYT,2001,4
EDIP,2001,1107
EFES,2001,28
EGDIS,2001,18
EGEEN,2001,186
EGFIN,2001,24
EGGUB,2001,164
EGIYM,2001,27
EGPRO,2001,194
EGSER,2001,1095
EHGOL,2001,14
EMKEL,2001,153
EMNIS,2001,111
ENKAI,2001,18
EPLAS,2001,404
ERBOS,2001,357
EREGL,2001,6433
ERSU,2001,101
ESCOM,2001,51
ESEMS,2001,302
FACFA,2001,16
FENIS,2001,341
FFKRL,2001,65
FINBN,2001,2070
FMIZP,2001,310
FNSYO,2001,3
FRIGO,2001,647
FROTO,2001,3449
FVORI,2001,192
GARAN,2001,5898
GDKYO,2001,3
GEDIZ,2001,360
GENTS,2001,312
GIMA,2001,2455
GLBYO,2001,3
GLMDE,2001,478
GOLDS,2001,217
GOLTS,2001,464
GOODY,2001,1479
GORBN,2001,153
GRGYO,2001,10
GRNYO,2001,3
GSDHO,2001,21
GSRAY,2001,5
GUBRF,2001,479
GUSGR,2001,348
GUMUS,2001,20
HEKTS,2001,201
HURGZ,2001,203
HZNDR,2001,50
IDAS,2001,484
IHEVA,2001,279
IHLAS,2001,1033
IKTFN,2001,17
INTEM,2001,207
IPMAT,2001,310
ISAMB,2001,352
ISBTR,2001,15541
ISGEN,2001,37
ISYAT,2001,3
IZMDC,2001,554
IZOCM,2001,324
KAPLM,2001,101
KARSN,2001,753
KARTN,2001,298
KAVPA,2001,5
KCHOL,2001,169
KENT,2001,1040
KEPEZ,2001,104
KERVT,2001,575
KIPA,2001,1168
KLBMO,2001,414
KLMSN,2001,227
KNFRT,2001,135
KONYA,2001,137
KORDS,2001,883
KOTKS,2001,744
KRDMD,2001,4111
KRSTL,2001,115
KRTEK,2001,738
