,Firm,Year,Name
200,DOGUB,1998,DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.
201,AKSA,1998,AKSA AKRİLİK KİMYA SANAYİİ A.Ş.
202,KLBMO,1998,KELEBEK MOBİLYA VE KONTRPLAK SANAYİ A.Ş.
203,UNTAR,1998,ÜNAL TARIM ÜRÜNLERİ İHRACAT VE SANAYİ A.Ş.
204,VKFYT,1998,VAKIF MENKUL KIYMETLER YATIRIM ORTAKLIĞI A.Ş.
205,DARDL,1998,DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş. 
206,ALARK,1998,ALARKO HOLDİNG A.Ş.
207,KORDS,1998,KORDSA KORD BEZİ SAN. VE TİC. A.Ş.
208,Frigo,1998,FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş
209,kaplm,1998,KAPLAMİN AMBALAJ SANAYİ VE TİCARET A.Ş.
210,AKIPD,1998,AKSU  İPLİK  DOKUMA  VE  BOYA  APRE  FAB. T.A.Ş.
211,MMART,1998,MARMARİS MARTI OTEL İŞLETMELERİ ANONİM ŞİRKETİ
212,GDKYO,1998,GEDİK YATIRIM ORTAKLIĞI A.Ş.
213,VKING,1998,VİKİNG KAĞIT VE SELÜLOZ A.Ş.
214,SABAH,1998,SABAH YAYINCILIK A.Ş.
215,GUBRF,1998,GÜBRE FABRİKALARI T.A.Ş.
216,AYGAZ,1998,AYGAZ A.Ş.
217,VAKFN,1998,VAKIF FİNANSAL KİRALAMA A.Ş.
218,ECZYT,1998,ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI AŞ.
219,INMDY,1998,İNTERMEDYA YAYINCILIK A.Ş.
220,YUNSA,1998,YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.
221,IHFIN,1998,İHLAS FİNANS KURUMU A.Ş.
222,SKBNK,1998,ŞEKERBANK T.A.Ş.
223,SVGSH,1998,SEVGİ ÖZEL SAĞLIK HİZMETLERİ A.Ş.
224,ERBOS,1998,ERBOSAN ERCİYAS BORU SANAYİ VE TİCARET A.Ş.
225,KRTEK,1998,KARSU TEKSTİL SANAYİİ VE TİCARET A.Ş.
226,ECYAP,1998,ECZACIBAŞI YAPI
227,RANTL,1998,RANT FİNANSAL KİRALAMA A.Ş.
228,MEMSA,1998,MENSA MENSUCAT SANAYİ VE TİCARET A.Ş.
229,SERVE,1998,SERVE KIRTASİYE SANAYİ VE TİCARET A.Ş.
230,ISBTR,1998,TÜRKİYE İŞ BANKASI A.Ş.
231,EGDIS,1998,EGS EGE GİYİM SANAYİ VE DIŞ TİCARET A.Ş.
232,KRSTL,1998,KRİSTAL KOLA VE MEŞRUBAT SANAYİ TİCARET ANONİM ŞİRKETİ
233,Turcas,1998,KURULUŞ TARİHİ
234,IHEVA,1998,İHLAS EV ALETLERİ SAN VE TİC.  A.Ş.
235,CBSBO,1998,ÇBS BOYA KİMYA SANAYİİ VE TİCARETİ A.Ş.
236,ALCTL,1998,"ALCATEL TELETAŞ 
TELEKOMÜNİKASYON ENDÜSTRİ TİCARET A.Ş."
