Firm;Year;EstInvAmount;unitEA;RealizedInvAmount;unitRA;Inv_Name;beg_date;end_date
PENGD;2002;5.035.160;(Milyon-Million TL);642.394;(Milyon-Million TL);"Ürün çeşitlendirme-Modernizasyon
 (Variety of product - Modernized)";2002-04-04;2004-04-04
PETKM;2002;311.511.000;(Milyon-Million TL);761.521;(Milyon-Million TL);"Aliağa Kompleksi Fab.Rehab.ve Tevsii
(Aliağa Komp.Rehab.and Enlarging)";1989-01-01;2003-01-01
PETKM;2002;57.779.000;(Milyon-Million TL);17.671.788;(Milyon-Million TL);"Modernizasyon ve Yenileme
(Modernization and renovation)";1990-01-01;2003-01-01
PETKM;2002;6.275.000;(Milyon-Million TL);1.583.642;(Milyon-Million TL);"Bilgisayar Sistemleri Modernizasyonu
(Computer systems modernization)";1999-01-01;2003-01-01
PETKM;2002;3.461.000;(Milyon-Million TL);1.009.966;(Milyon-Million TL);"Çevre Güvenlik Sistemleri Tes.
(Peripheral security system)";1994-01-01;2003-01-01
PETKM;2002;144.050.000;(Milyon-Million TL);10.726.274;(Milyon-Million TL);"Yardımcı Tesisler İyileştirme
(Plant operations treatment)";1999-01-01;2003-01-01
PETKM;2002;348.363.000;(Milyon-Million TL);129.263.262;(Milyon-Million TL);"Tevsii Yatırımları
(Enlarging)";2001-01-01;2003-01-01
PETKM;2002;3.759.000;(Milyon-Million TL);-;(Milyon-Million TL);"Torba Dolum Ünit.Değişimi (proje)
(Renewal of bag filling system)";2001-01-01;2003-01-01
PETKM;2002;9.500.000;(Milyon-Million TL);5.373.156;(Milyon-Million TL);"İdame Tamamlama
(Continuity and completion investments)";2002-01-01;2003-01-01
PETKM;2002;40.000;(Milyon-Million TL);39.500;(Milyon-Million TL);"Taşıt Alımı
(Vehicles purchasing)";2002-01-01;2003-01-01
PETKM;2002;884.738.000;(Milyon-Million TL);166.429.109;(Milyon-Million TL);Toplam ;2002-01-01;2002-01-01
PETUN;2002;65.000;(Milyon-Million TL);3.300;(Milyon-Million TL);"RENDERİNG KOKU GİDERİCİ
(Rendering Odor Vaporizer)";2002-02-18;2003-02-28
PIMAS;2002;300.000;(Milyon-Million TL);230.555;(Milyon-Million TL);"KOOPERATİF ARSASI 
REAL ESTATE INVESTMENT";1998-03-23;2003-12-31
PINSU;2002;204.000;(Milyon-Million TL);204.000;(Milyon-Million TL);"19 LT. PC ŞİŞE TESİSİ
(19 lt. PC Bottle Line)";2002-05-16;2002-09-30
PKENT;2002;100;(Milyon-Million TL);87.4;(Milyon-Million TL);PETROCLUB ABANT TATİL KÖYÜ;2000-01-01;2003-01-01
PNSUT;2002;           ---                              ;(Milyon-Million TL);          ---;(Milyon-Million TL);              ---;2002-01-01;2002-01-01
PRKAB;2002;9.271.117;(Milyon-Million TL);5.940.113;(Milyon-Million TL);"ENERJİ-HABERLEŞME KABLOLARI MODERNİZASYONU VE TEVSİİ YATIRIMI
MODERNIZAZATION AND EFFICENCY INVESTMENT
";1999-04-15;2003-12-31
PRKAB;2002;3.508.003;(Milyon-Million TL);1.425.056;(Milyon-Million TL);"ENERJİ-HABERLEŞME KABLOLARI MODERNİZASYONU VE TEVSİİ YATIRIMI
MODERNIZAZATION AND EFFICENCY INVESTMENT
";2002-02-15;2004-02-15
PRKTE;2002;--;(Milyon-Million TL);--;(Milyon-Million TL);--;2002-01-01;2002-01-01
PTOFS;2002;43.710.571;(Milyon-Million TL);28.048.512;(Milyon-Million TL);"İstasyon Yatırımları
Station investments";2001-01-01;2003-01-01
PTOFS;2002;4.076.028;(Milyon-Million TL);4.040.559;(Milyon-Million TL);"Döşeme-Demirbaş
Furniture and Fixtures";2001-01-01;2003-01-01
PTOFS;2002;68.468.108;(Milyon-Million TL);50.567.707;(Milyon-Million TL);"Depo Tadil Tevsi Yatırımı
Warehouse modification investments";2001-01-01;2003-01-01
PTOFS;2002;1.656.191;(Milyon-Million TL);1.510.066;(Milyon-Million TL);"Bilgi Sistemleri
Information Systems";2001-01-01;2003-01-01
RKSEV;2002;456.458;( Milyon-Million TL );223.900;( Milyon-Million TL );"MUHTELİF ELEKTRİKLİ EV VE MUTFAK ALETLERİ KALIPLARI İLE MAKİNALAR
( VARIOS ELECTRICAL HOME AND KITCHEN APPLIANCE MOLDS AND MACHINES )";1993-11-09;2003-12-31
